"","지역","대여건수","지하철","평균기온","평균습도","평균풍속","강수량","이산화질소농도","일산화탄소농도","아황산가스농도","미세먼지량","초미세먼지량","버스","계절","WeekDay","강수량수준"
"1","군집 1",235,1494999,-2.599999905,43.5,1.100000024,0.5,0.045,0.6,0.006,39,25,721145,"겨울",0,"1mm미만"
"2","군집 2",114,318430,-2.299999952,37.79999924,1.299999952,0,0.046,0.8,0.005,44,25,242003,"겨울",0,"1mm미만"
"3","군집 2",82,130921,-2.700000048,43.79999924,0.899999976,0,0.027,0.5,0.004,31,16,418709,"겨울",0,"1mm미만"
"4","군집 4",363,446626,-2.200000048,44.59999847,1.100000024,0,0.044,0.7,0.005,41,22,235333,"겨울",0,"1mm미만"
"5","군집 5",162,607542,-2.799999952,42,1.799999952,0,0.026,0.6,0.007,42,23,480253,"겨울",0,"1mm미만"
"6","군집 2",74,203126,-2.200000048,37.20000076,0.100000001,0,0.044,0.7,0.005,37,23,328776,"겨울",0,"1mm미만"
"7","군집 5",86,458971,-3.200000048,44.59999847,0.600000024,0,0.037,0.7,0.007,39,21,377779,"겨울",0,"1mm미만"
"8","군집 2",30,212206,-3.900000095,47.09999847,0.600000024,0,0.03,0.6,0.005,39,21,298790,"겨울",0,"1mm미만"
"9","군집 5",215,422955,-2.799999952,42.40000153,1.200000048,0,0.045,0.6,0.007,36,22,461745,"겨울",0,"1mm미만"
"10","군집 5",130,546867,-2.5,48.20000076,1.399999976,0,0.043,0.7,0.004,40,22,477474,"겨울",0,"1mm미만"
"11","군집 6",730,722141,-3.900000095,53.20000076,1.100000024,0,0.043,0.8,0.005,43,28,418122,"겨울",0,"1mm미만"
"12","군집 5",297,155677,-3.700000048,46.29999924,1.200000048,0,0.039,0.7,0.002,43,21,532281,"겨울",0,"1mm미만"
"13","군집 4",420,393804,-2.799999952,46.79999924,1.399999976,0.5,0.039,0.7,0.006,43,24,240619,"겨울",0,"1mm미만"
"14","군집 5",115,378354,-2.900000095,41.70000076,1,0,0.04,0.7,0.006,38,20,526658,"겨울",0,"1mm미만"
"15","군집 3",239,650514,-2.700000048,47.79999924,0.899999976,0,0.038,0.8,0.006,44,24,514721,"겨울",0,"1mm미만"
"16","군집 2",91,173602,-3,45.79999924,1.399999976,0,0.036,0.6,0.004,33,21,355754,"겨울",0,"1mm미만"
"17","군집 2",91,313955,-2.099999905,38.59999847,1.5,0.5,0.04,0.5,0.005,37,19,329124,"겨울",0,"1mm미만"
"18","군집 5",137,406597,-3.799999952,46.40000153,1.399999976,0,0.038,0.7,0.004,35,21,428380,"겨울",0,"1mm미만"
"19","군집 7",281,968198,-3.5,43.5,1.399999976,0,0.038,0.7,0.004,34,22,317762,"겨울",0,"1mm미만"
"20","군집 2",101,234835,-2.700000048,43.90000153,1.299999952,0,0.047,0.7,0.007,34,19,309048,"겨울",0,"1mm미만"
"21","군집 1",270,1567355,-1.700000048,45.29999924,0.899999976,0,0.053,0.7,0.006,51,34,740000,"겨울",0,"1mm미만"
"22","군집 2",131,331671,-1.200000048,38.40000153,1.399999976,0,0.055,0.9,0.005,58,37,249696,"겨울",0,"1mm미만"
"23","군집 2",84,136618,-1.600000024,45,0.699999988,0,0.041,0.7,0.005,49,25,434781,"겨울",0,"1mm미만"
"24","군집 4",366,477728,-1.200000048,45.59999847,1.100000024,0,0.053,0.9,0.006,56,34,243266,"겨울",0,"1mm미만"
"25","군집 5",169,617390,-1.5,47,1.5,0,0.033,0.8,0.008,62,37,490416,"겨울",0,"1mm미만"
"26","군집 2",98,207064,-1.100000024,42.70000076,0,0,0.053,0.8,0.005,50,32,337399,"겨울",0,"1mm미만"
"27","군집 5",111,474060,-2.099999905,44.09999847,0.600000024,0,0.045,0.9,0.008,57,34,387619,"겨울",0,"1mm미만"
"28","군집 2",35,219003,-2.700000048,47.20000076,0.600000024,0,0.039,0.8,0.006,57,33,307873,"겨울",0,"1mm미만"
"29","군집 5",235,442803,-1.700000048,43.59999847,1.5,0,0.055,0.6,0.007,53,34,474137,"겨울",0,"1mm미만"
